strategy,hardware,offload_split,offload_frac,disk_frac,mean_latency_ms,total_time_s,prefill_time_s,accuracy
full_cache,A100_80GB,1.0/0.0/0.0,0.0,0.0,6.438679993152618,3.064803384244442,0.006430387496948242,77.0
full_cache,A100_80GB,0.7/0.3/0.0,0.3,0.0,6.515699259544673,3.101387535780668,0.006430387496948242,77.0
full_cache,A100_80GB,0.5/0.5/0.0,0.5,0.0,6.554502421303799,3.119819037616253,0.006430387496948242,77.0
full_cache,A100_80GB,0.3/0.3/0.4,0.3,0.4,7.738879473585832,3.6823981374502184,0.006430387496948242,77.0
full_cache,A100_80GB,0.5/0.0/0.5,0.0,0.5,7.965294320332377,3.7899451896548273,0.006430387496948242,77.0
full_cache,H100_SXM,1.0/0.0/0.0,0.0,0.0,3.8439880556135035,1.8297333637280249,0.0038390373116108907,77.0
full_cache,H100_SXM,0.7/0.3/0.0,0.3,0.0,3.8861805988125977,1.8497748217475947,0.0038390373116108907,77.0
full_cache,H100_SXM,0.5/0.5/0.0,0.5,0.0,3.9015368018109124,1.8570690181717944,0.0038390373116108907,77.0
full_cache,H100_SXM,0.3/0.3/0.4,0.3,0.4,5.110567184292418,2.431358449850509,0.0038390373116108907,77.0
full_cache,H100_SXM,0.5/0.0/0.5,0.0,0.5,5.372108018594938,2.555590346144206,0.0038390373116108907,77.0
full_cache,H200,1.0/0.0/0.0,0.0,0.0,2.682783330480258,1.277001410101851,0.0026793281237284345,77.0
full_cache,H200,0.7/0.3/0.0,0.3,0.0,2.7253820994182636,1.2972358253474037,0.0026793281237284345,77.0
full_cache,H200,0.5/0.5/0.0,0.5,0.0,2.741005895169158,1.3046571283290784,0.0026793281237284345,77.0
full_cache,H200,0.3/0.3/0.4,0.3,0.4,3.9503085733505725,1.8790759004652502,0.0026793281237284345,77.0
full_cache,H200,0.5/0.0/0.5,0.0,0.5,4.211577111953184,2.0031784563014905,0.0026793281237284345,77.0
full_cache,B200,1.0/0.0/0.0,0.0,0.0,1.6096699982881546,0.7662008460611105,0.0016075968742370605,77.0
full_cache,B200,0.7/0.3/0.0,0.3,0.0,1.6526441758400514,0.7866135803982616,0.0016075968742370605,77.0
full_cache,B200,0.5/0.5/0.0,0.5,0.0,1.6685152642036738,0.7941523473709822,0.0016075968742370605,77.0
full_cache,B200,0.3/0.3/0.4,0.3,0.4,2.878069581169831,1.3686906479299068,0.0016075968742370605,77.0
full_cache,B200,0.5/0.0/0.5,0.0,0.5,3.1390864809876993,1.4926736753433942,0.0016075968742370605,77.0
full_cache,B300,1.0/0.0/0.0,0.0,0.0,1.6096699982881546,0.7662008460611105,0.0016075968742370605,77.0
full_cache,B300,0.7/0.3/0.0,0.3,0.0,1.6526441758400514,0.7866135803982616,0.0016075968742370605,77.0
full_cache,B300,0.5/0.5/0.0,0.5,0.0,1.6685152642036738,0.7941523473709822,0.0016075968742370605,77.0
full_cache,B300,0.3/0.3/0.4,0.3,0.4,2.878069581169831,1.3686906479299068,0.0016075968742370605,77.0
full_cache,B300,0.5/0.0/0.5,0.0,0.5,3.1390864809876993,1.4926736753433942,0.0016075968742370605,77.0
full_cache,L40S,1.0/0.0/0.0,0.0,0.0,15.262056280065465,7.264719133023862,0.015242399992766205,77.0
full_cache,L40S,0.7/0.3/0.0,0.3,0.0,15.335988853409974,7.299837105362504,0.015242399992766205,77.0
full_cache,L40S,0.5/0.5/0.0,0.5,0.0,15.372758720353334,7.317302792160599,0.015242399992766205,77.0
full_cache,L40S,0.3/0.3/0.4,0.3,0.4,16.555066742627478,7.878899102740817,0.015242399992766205,77.0
full_cache,L40S,0.5/0.0/0.5,0.0,0.5,16.783550619381913,7.9874289441991735,0.015242399992766205,77.0
full_cache,RTX_5090,1.0/0.0/0.0,0.0,0.0,7.194055858271081,3.424361323178147,0.007184790499383511,77.0
full_cache,RTX_5090,0.7/0.3/0.0,0.3,0.0,7.270810870555035,3.460819954013025,0.007184790499383511,77.0
full_cache,RTX_5090,0.5/0.5/0.0,0.5,0.0,7.309439960419167,3.479168771698488,0.007184790499383511,77.0
full_cache,RTX_5090,0.3/0.3/0.4,0.3,0.4,8.493639881489592,4.04166373420694,0.007184790499383511,77.0
full_cache,RTX_5090,0.5/0.0/0.5,0.0,0.5,8.720231859447745,4.149294923737063,0.007184790499383511,77.0
full_cache,MI300X,1.0/0.0/0.0,0.0,0.0,2.429690563453818,1.1565295789601668,0.0024265613196031103,77.0
full_cache,MI300X,0.7/0.3/0.0,0.3,0.0,2.472377872159251,1.1768060505952473,0.0024265613196031103,77.0
full_cache,MI300X,0.5/0.5/0.0,0.5,0.0,2.4880599916395627,1.1842550573483952,0.0024265613196031103,77.0
full_cache,MI300X,0.3/0.3/0.4,0.3,0.4,3.697422018590963,1.7587020201503105,0.0024265613196031103,77.0
full_cache,MI300X,0.5/0.0/0.5,0.0,0.5,3.958631208423588,1.8827763853208075,0.0024265613196031103,77.0
full_cache,MI325X,1.0/0.0/0.0,0.0,0.0,2.146226664384206,1.0216011280814805,0.0021434624989827475,77.0
full_cache,MI325X,0.7/0.3/0.0,0.3,0.0,2.189013137629157,1.0419247028728325,0.0021434624989827475,77.0
full_cache,MI325X,0.5/0.5/0.0,0.5,0.0,2.2047605796864156,1.0494047378500302,0.0021434624989827475,77.0
full_cache,MI325X,0.3/0.3/0.4,0.3,0.4,3.4141890772602013,1.6238832741975784,0.0021434624989827475,77.0
full_cache,MI325X,0.5/0.0/0.5,0.0,0.5,3.675331796470441,1.7479260658224423,0.0021434624989827475,77.0
full_cache,MI350X,1.0/0.0/0.0,0.0,0.0,1.6096699982881546,0.7662008460611105,0.0016075968742370605,77.0
full_cache,MI350X,0.7/0.3/0.0,0.3,0.0,1.6526441758400514,0.7866135803982616,0.0016075968742370605,77.0
full_cache,MI350X,0.5/0.5/0.0,0.5,0.0,1.6685152642036738,0.7941523473709822,0.0016075968742370605,77.0
full_cache,MI350X,0.3/0.3/0.4,0.3,0.4,2.878069581169831,1.3686906479299068,0.0016075968742370605,77.0
full_cache,MI350X,0.5/0.0/0.5,0.0,0.5,3.1390864809876993,1.4926736753433942,0.0016075968742370605,77.0
full_cache,TPU_v5e,1.0/0.0/0.0,0.0,0.0,16.08099588533727,7.654533330405631,0.01606028487042683,77.0
full_cache,TPU_v5e,0.7/0.3/0.0,0.3,0.0,16.075417828345635,7.651883753334604,0.01606028487042683,77.0
full_cache,TPU_v5e,0.5/0.5/0.0,0.5,0.0,16.07166447963886,7.6501009126988855,0.01606028487042683,77.0
full_cache,TPU_v6e,1.0/0.0/0.0,0.0,0.0,8.040497942668635,3.8272666652028153,0.008030142435213414,77.0
full_cache,TPU_v6e,0.7/0.3/0.0,0.3,0.0,8.037708914172818,3.825941876667302,0.008030142435213414,77.0
full_cache,TPU_v6e,0.5/0.5/0.0,0.5,0.0,8.03583223981943,3.8250504563494427,0.008030142435213414,77.0
